Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided	Other notes	Status (Only for Mark/Kaumadi)
PMC6430740	412	Kaumadi	Biosci Rep	Metabolomics	Homo sapiens	MetaboAnalyst 	Yes	Not stated	Yes	MetaboAnalyst 	Yes	NA	Not stated	Background list	No		
PMC6430771	413	Kaumadi	Sci Rep	RNA-seq	Equus caballus	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background list, FDR	Yes		
PMC6430771	413	Kaumadi	Sci Rep	RNA-seq	Equus caballus	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background list, FDR	Yes		
PMC6431437	414	Kaumadi	Biomed Res Int	Gene expression array	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6431541	415	Kaumadi	PeerJ	RNA-seq	Trachemys scripta elegans	GO	No	Hypergeometric	Yes	GOseq	No	No	Not stated	Background list	No		
PMC6431659	416	Kaumadi	Front Genet	RNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6431671	417	Kaumadi	Front Pharmacol	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No		
PMC6432706	418	Kaumadi	Dis Markers	Database	Homo sapiens	GO	No	Not stated	Yes	BiNGO	No	No	Not stated	Background list	Yes		
PMC6432706	418	Kaumadi	Dis Markers	Database	Homo sapiens	KEGG	No	Not stated	No	ClusterProfiler	No	No	Not stated	Background list, FDR	Yes		
PMC6432869	419	Kaumadi	Toxicol Sci	RNA-seq	Mus musculus	Ingenuity Pathway Analysis	Yes	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6432904	420	Kaumadi	PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6433918	421	Kaumadi	Cell Death Dis	Microarray	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6433941	422	Kaumadi	Front Pharmacol	RNA-seq	Homo sapiens	KEGG,GO	No	Not stated	No	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6434019	423	Kaumadi	Exp Mol Med	Microarray	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No		
PMC6434181	424	Kaumadi	Heliyon	Microarray	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6434209	425	Kaumadi	Cancer Med	RNA-seq	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6434209	425	Kaumadi	Cancer Med	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background list, FDR	No		
PMC6434210	426	Kaumadi	Cancer Med	Proteomics	Homo sapiens	Ingenuity Pathway Analysis	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6434241	427	Kaumadi	Exp Ther Med	Gene expression array 	Homo sapiens	KEGG	No	EASE	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6434248	428	Kaumadi	Exp Ther Med	Database	Homo sapiens	KEGG	No	Fisher	No	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6434430	429	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	this is a comment article	
PMC6434549	430	Kaumadi	Ecol Evol	RNA-seq	Zootermopsis nevadensis 	KEGG,GO	No	Not stated	Yes	ClusterProfiler	No	No	Not stated	Background list	Yes		
PMC6434600	431	Kaumadi	DNA Cell Biol	Microarray	Mus musculus	KEGG,GO	No	Not stated	Not stated	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6434905	432	Kaumadi	Front pharmacol	Proteomics	Phellinus igniarius	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No		
PMC6434914	433	Kaumadi	Cancer Manag Res	Gene expression array 	Homo sapiens	KEGG,GO	No	Not stated	No	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6435149	434	Kaumadi	Plos One	DNA Methylation	Homo sapiens	Ingenuity Pathway Analysis	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6435236	435	Kaumadi	Plos One	Gene expression array 	Mus musculus	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes		
PMC6435236	435	Kaumadi	Plos One	Gene expression array 	Mus musculus	GO	No	Hypergeometric	No	BINGO	Yes	No	Not stated	Background list, FDR	Yes		
PMC6435965	436	Kaumadi	Front Genet	RNA-seq	Oreochromis niloticus	GO	No	No test	No	Blast2GO	No	No	Not stated	Inference without test	No		
PMC6436215	437	Kaumadi	Genome Med	Database	Homo sapiens	Reactome	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes		
PMC6436478	438	Kaumadi	Parasite	miRNA-seq	Haemaphysalis longicornis	GO	No	Not stated	No	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6436648	439	Kaumadi	FASEB J	Proteomics	Sus scrofa	GO	No	Not stated	No	Blast2GO	No	No	Not stated	Background list, FDR	No		
PMC6436648	439	Kaumadi	FASEB J	Proteomics	Sus scrofa	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6436759	440	Kaumadi	PLoS Genet	GWAS	Homo sapiens	GO, BP, Reactome, PANTHER	No	GSEA	No	GSEA	No	NA	NA	FDR	No		
PMC6437077	441	Kaumadi	Front Genet	RNA-seq, Methylation-Seq	Mus musculus	KEGG,GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6437149	442	Kaumadi	Sci Rep	RNA-seq	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6437718	443	Kaumadi	Med Sci Monit	Metabolomics	Rattus norvegicus	KEGG	No	Not stated	No	MetaboAnalyst 	No	NA	Not stated	Background list, FDR	No		
PMC6438035	444	Kaumadi	BMC Oral Health	Gene expression array 	Homo sapiens	KEGG,GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6438040	445	Kaumadi	Proteome Sci	Proteomics	Homo sapiens	KEGG, Reactome	No	No test	No	FunRich	Yes	NA	Not stated	Background list	No		
PMC6438265	446	Kaumadi	Cancer Manag Res	Database	Homo sapiens	KEGG,GO	No	Not stated	No	ClusterProfiler	No	No	Not stated	Background list, FDR	Yes		
PMC6438423	447	Kaumadi	Int J Oncol	Microarray	Homo sapiens	KEGG,GO	No	No test	No	DAVID	No	NA	Not stated	Background list	No		
PMC6438431	448	Kaumadi	Int J Oncol	Proteomics	Homo sapiens	KEGG,GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6438477	449	Kaumadi	Plos One	Genome sequencing	Coturnix japonica	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6438570	450	Kaumadi	Plos One	Proteomics	Homo sapiens	Ingenuity Pathway Analysis	Yes	Fisher	No	Ingenuity Pathway Analysis	Yes	No	Not stated	Background list, FDR	No		
PMC6438902	451	Kaumadi	Front Genet	Genome sequencing	Catharanthus roseus	KEGG, GO, plantCyc	No	Fisher	Yes	PlantGSEA	No	NA	Yes	No	No		
PMC6439315	452	Kaumadi	Front Genet	Database	Homo sapiens	KEGG	No	Not stated	No	Omics Bean	No	No	Not stated	Background list, FDR	No		
PMC6439482	453	Kaumadi	Front pharmacol	Metabolomics	Homo sapiens	Not stated	No	Not stated	No	MetaboAnalyst 	Yes	NA	Not stated	Background list, FDR	No		
PMC6439977	454	Kaumadi	Int J Oncol	Database	Homo sapiens	KEGG, GO, Reactome, CORUM	No	Not stated	No	Metascape	No	NA	Not stated	Background list, FDR	No		
PMC6440132	455	Kaumadi	Lipids Health Dis	RNA-seq	Mus musculus	KEGG,GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6441198	456	Kaumadi	Clin Proteomics	Proteomics	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6441238	457	Kaumadi	BMC Med Genet	Database	Homo sapiens	Not stated	No	Not stated	No	GenCLiP	Yes	NA	Not stated	Background list, FDR	Yes	They only submitted 3 genes!!!	
PMC6441536	458	Kaumadi	Prostate Cancer	GWAS	Homo sapiens	GO	No	Not stated	Yes	Ingenuity Pathway Analysis	No	No	Not stated	Background list	Yes		
PMC6441654	459	Kaumadi	Hortic Res	RNA-seq	Eriobotrya japonica	GO	No	Not stated	Yes	Not stated	No	No	Not stated	Background list, FDR	No		
PMC6441712	460	Kaumadi	Neoplasia	RNA-seq	Homo sapiens	KEGG,GO	No	Not stated	No	DAVID	No	NA	Not stated	Inference without data shown, background	No	This is an interesting one. They don't even show amy data even though. 	
PMC6441932	461	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	No gene set enrichment analysis	
PMC6442023	462	Kaumadi	Front pharmacol	RNA-seq	Homo sapiens, Rattus norvegicus	GEO	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No		
PMC6442036	463	Kaumadi	J Biol Chem	RNA-seq	Mus musculus	GO	No	Fisher/EASE	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6442054	464	Kaumadi	J Biol Chem	Proteomics	Capra aegagrus hircus	GO	No	Not stated	Yes	PANTHER	Yes	NA	Yes	No	No		
PMC6442443	465	Kaumadi	Stem Cells Int	RNA-seq	Equus caballus	GO	No	Not stated	Yes	DIANA-miRPath	Yes	NA	Not stated	Background list	Yes		
PMC6442443	465	Kaumadi	Stem Cells Int	RNA-seq	Equus caballus	KEGG,GO	No	Not stated	Yes	STRING	Yes	NA	Not stated	Background list	Yes		
PMC6442482	466	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	No gene set enrichment analysis	
PMC6442670	467	Kaumadi	PeerJ	Microarray	Homo sapiens	KEGG,GO	No	Not stated	No	ClusterProfiler	No	No	Not stated	Background list, FDR	No		
PMC6442994	468	Kaumadi	Oncotarget	GWAS	Homo sapiens	Ingenuity Pathway Analysis	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No		
PMC6443184	469	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	No gene set enrichment analysis	
PMC6443345	470	Kaumadi	Int J Mol Med	Proteomics	Canis lupus familiaris	KEGG,GO	No	Fisher	Yes	STRING	No	NA	Not stated	Background list	No		
PMC6443651	471	Kaumadi	Cell Death Dis	Gene expression array 	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background list, FDR	No	No bioinformatics methods section at all	
PMC6443865	472	Kaumadi	FEBS Open Bio	Gene expression array 	Homo sapiens	CCGA	No	GSEA	Yes	GSEA	No	NA	NA	Background list	No		
PMC6443874	473	Kaumadi	FEBS Open Bio	Gene expression array 	Homo sapiens	KEGG,GO	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No		
PMC6443911	474	Kaumadi	Front Plant Sci	RNA-seq	Vitis vinifera	GO	No	Not stated	Yes	GOstats	No	No	Not stated	Background list	No		
PMC6444048	475	Kaumadi	Ann Surg Treat Res	RNA-seq	Homo sapiens	KEGG,GO, BioCarta	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6444048	475	Kaumadi	Ann Surg Treat Res	RNA-seq	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes		
PMC6444190	476	Kaumadi	Front Mol Neurosci	Gene expression array 	Homo sapiens	KEGG,GO	No	Not stated	No	Enrichr	No	NA	Not stated	Background list, FDR	No		
PMC6444224	477	Kaumadi	EBioMedicine	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6444224	477	Kaumadi	EBioMedicine	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6444437	478	Kaumadi	Oncol Lett	Gene expression array 	Homo sapiens	Not stated	No	Fisher	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6444485	479	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG	No	Fisher	No	ClusterProfiler	No	No	Not stated	Background list, FDR	Yes	Unclear which tool was used in each part of the results	
PMC6444485	479	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG,GO	No	Fisher	No	MATHT	No	NA	Not stated	Background list, FDR	Yes	Unclear which tool was used in each part of the results	
PMC6444505	480	Kaumadi	World J Surg Oncol	Gene expression array 	Homo sapiens	KEGG,GO	No	Not stated	No	Metascape	No	NA	Not stated	Background list, FDR	Yes		
PMC6444683	481	Kaumadi	BMC Genomics	DNA-Seq	Glycine max L	GO	No	No test	No	AgriGO	Yes	No	Not stated	Background list, FDR	NA		
PMC6444860	482	Kaumadi	BMC Med Genomics	RNA-seq	Homo sapiens	KEGG,GO	No	Not stated	Yes	GOSeq	Yes	No	Not stated	Background list	No		
PMC6444876	483	Kaumadi	BMC Genomics	GWAS	Bos taurus	KEGG,GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6445055	484	Kaumadi	Front Genet	Gene expression array 	Mus musculus	GO	No	Not stated	No	PANTHER	No	NA	Not stated	Background list, FDR	No		
PMC6445055	484	Kaumadi	Front Genet	Gene expression array 	Mus musculus	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	Yes	No	Not stated	Background list, FDR	Yes		
PMC6445072	485	Kaumadi	Nat Commun	GWAS	Homo sapiens	MSigDB, GWAS-catalog	No	Hypergeometric	Yes	FUMA	No	NA	Not stated	Background list	Yes		
PMC6445295	486	Kaumadi	Front Neurosci	Proteomics	Homo sapiens	Ingenuity Pathway Analysis	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list	No	IPA only used for classification. Details about affimetrix array completely missing	
PMC6445295	486	Kaumadi	Front Neurosci	Proteomics	Homo sapiens	GO	No	No test	NA	Uniprot/GOA	No	NA	Not stated	Inference without test, background	No	Here they make claims about the enriched pathways (catalytic) but without a test. Details about affimetrix array completely missing	
PMC6445408	487	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	No gene set enrichment analysis	
PMC6445606	488	Kaumadi	Clin Transl Gastroenterol	Metabolomics	Homo sapiens	Not stated	No	Not stated	No	MetaboAnalyst 	Yes	NA	Not stated	Background list, FDR	No		
PMC6445839	489	Kaumadi	Front Pharmacol	Gene expression array 	Homo sapiens	GO	No	GSEA	Yes	ClusterProfiler	Yes	No	Yes	No	Yes		
PMC6446359	490	Kaumadi	Respir Res	RNA-seq	Homo sapiens	KEGG, Reactome	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6446409	491	Kaumadi	Mol Cancer	RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No		
PMC6446477	492	Kaumadi	Curr Genomics	Genome sequencing	Homo sapiens	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6446482	493	Kaumadi	Curr Genomics	RNA-seq	Mus musculus	KEGG, GO	No	No test	No	Not stated	No	No	Not stated	Background list	No		
PMC6446500	494	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Introducing a new tool	
PMC6446796	495	Kaumadi	Plant Physiol	PPI	Arabidopsis thaliana	GO	No	Not stated	Not stated	Not stated	No	No	Not stated	Data not shown	Yes	Introducing a new tool 	Please include because they mention GO enrichment in the results
PMC6446857	496	Kaumadi	J Cell Biol	Proteomics	Homo sapiens	GO	No	Not stated	No	ClueGO	No	No	Not stated	Background list, FDR	No		
PMC6447179	497	Kaumadi	Plos One	Gene expression array 	Rattus norvegicus	Ingenuity Pathway Analysis	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background list, FDR	No		
PMC6447179	497	Kaumadi	Plos One	Gene expression array 	Rattus norvegicus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR	No		
PMC6447764	498	Kaumadi	Exp Ther Med	Database	Homo sapiens	KEGG	No	EASE	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6447814	499	Kaumadi	Exp Ther Med	Gene expression array 	Mus musculus	KEGG, GO	No	No test	No	DAVID	Yes	NA	Not stated	Inference without test	No		
PMC6447890	500	Kaumadi	Exp Ther Med	Database	Homo sapiens	KEGG, GO	No	Not stated	No	GENCLIP	No	NA	Not stated	Background list, FDR	No		
PMC6447910	501	Kaumadi	Exp Ther Med	Gene expression array 	Rattus norvegicus	KEGG, GO	No	Not stated	No	Not stated	No	NO	Not stated	Background list, FDR	No		
PMC6447923	502	Kaumadi	Oncol Lett	Database	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	No		
PMC6447940	503	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6447945	504	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	Yes		
PMC6447949	505	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	ClusterProfiler	No	No	Not stated	Background list	No		
PMC6448023	506	Kaumadi	Front Neurosci	Proteomics, Metabolomics	Rattus norvegicus	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No		
PMC6448089	507	Kaumadi	Oncol Rep	Database	Homo sapiens	KEGG, GO	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes		
PMC6448189	508	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	The article is about enrichment analysis practicing problems	
PMC6448456	509	Kaumadi	Med Sci Monit	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No		
PMC6448481	510	Kaumadi	Front Genet	Database	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes		
PMC6448860	511	Kaumadi	Plos One	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6448917	512	Kaumadi	Plos One	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No		
PMC6449165	513	Kaumadi	eNeuro	RNA-seq	Homo sapiens	MsigDB	No	Hypergeometric	Yes	GSEA	No	NA	NA	No	No		
PMC6449233	514	Kaumadi	Thorac Cancer	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR	No		
PMC6449350	515	Kaumadi	Sci Rep	RNA-seq	Auricularia cornea	GO	No	Hypergeometric	No	GOSeq	No	No	Not stated	Background list, FDR	No		
PMC6449350	515	Kaumadi	Sci Rep	RNA-seq	Auricularia cornea	KEGG	No	Hypergeometric	Yes	KOBAS	No	NA	Not stated	Background list	No		
PMC6449464	516	Kaumadi	Front Microbiol	Genome sequencing	Bacillus cereus	GO	No	Fisher	Yes	Not stated	No	NA	Not stated	No data shown	No		
PMC6449602	517	Kaumadi	J Korean Med Sci	Metabolomics	Homo sapiens	KEGG	No	Not stated	No	MSEA	No	NA	NA	FDR	No		
PMC6449695	518	Kaumadi	Front Genet	RNA-seq	Oryza sativa	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6449719	519	Kaumadi	Mol Cells	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	No	ClusterProfiler	No	No	Not stated	Background list, FDR	No		
PMC6449888	520	Kaumadi	BMC Syst Biol	Gene expression array	Homo sapiens	GO	No	Hypergeometric	No	topGO	No	No	Not stated	Background list, FDR	No		
PMC6449998	521	Kaumadi	J Biol Res (Thessalon)	Database	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6449998	521	Kaumadi	J Biol Res (Thessalon)	Database	Homo sapiens	GO	No	Not stated	No	FunRich	No	NA	Not stated	Background list, FDR	No		
PMC6449998	521	Kaumadi	J Biol Res (Thessalon)	Database	Homo sapiens	GO	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background list	No		
PMC6450006	522	Kaumadi	BMC Genomics	RNA-seq	Brassica alboglabra	GO	No	Not stated	No	GOseq	No	No	Not stated	Background list, FDR	No		
PMC6450006	522	Kaumadi	BMC Genomics	RNA-seq	Brassica alboglabra	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background list	No		
PMC6450037	523	Kaumadi	Genome Biol Evol	Genome sequencing	Moschus berezovskii	KEGG, GO	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background list	No		
PMC6450213	524	Kaumadi	Front Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6450379	525	Kaumadi	PeerJ	RNA-seq, Gene expression array	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6450757	526	Kaumadi	J Neurooncol	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background list	No		
PMC6450757	526	Kaumadi	J Neurooncol	Database	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No		
PMC6450889	527	Kaumadi	Sci Rep	Database	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6451254	528	Kaumadi	BMC Genomics	Gene expression array	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background list	Yes		
PMC6451260	529	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Registered trial report	
PMC6453463	530	Kaumadi	Plos One	RNA-seq	Fenneropenaeus chinensis	GO	No	Not stated	Yes	GOseq	No	NA	Not stated	Background list	No		
PMC6453463	530	Kaumadi	Plos One	RNA-seq	Fenneropenaeus chinensis	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background list	No		
PMC6454075	531	Kaumadi	Front Genet	Database	Homo sapiens	KEGG	No	Fisher	Yes	ClusterProfiler	No	NA	Not stated	Background list	Yes		
PMC6454734	532	Kaumadi	Mol Autism	Database	Homo sapiens	MsigDB	No	GSEA	Yes	GSEA	No	NA	NA	Background list	Yes		
PMC6454736	533	Kaumadi	BMC Genomics	GWAS	Bos taurus	KEGG, ENSEMBL, NCBI	Yes	No test	No	DAVID	Yes	NA	Not stated	Inference without test, Background list	No		
PMC6454777	534	Kaumadi	Cancer Cell Int	Database	Homo sapiens	MsigDB	No	GSEA	No	GSEA	No	NA	NA	FDR	No		
PMC6454777	534	Kaumadi	Cancer Cell Int	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6455000	535	Kaumadi	Drug Des Devel Ther	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background list	No		
PMC6455119	536	Kaumadi	Emerg Microbes Infect	RNA-seq	Mycobacterium tuberculosis	KEGG	No	Not stated	No	Not stated	No	NA	NOt stated	Background list, FDR	No		
PMC6455251	537	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	ExCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Not a full paper	
PMC6455524	538	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	ExCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Not a full paper	
PMC6455542	539	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	ExCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Not a full paper	
PMC6455998	540	Kaumadi	Medicine (Baltimore)	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	NOt stated	Background list, FDR	No		
PMC6456535	541	Kaumadi	Am J Transl Res	Gene expression array	Homo sapiens	KEGG, GO	No	GSEA	No	GSEA	No	NA	NA	FDR	No		
PMC6456573	542	Kaumadi	Sci Rep	Gene expression array	Arabidopsis thaliana	GO	No	Not stated	Yes	AgriGO	Yes	NA	Not stated	Background list	No		
PMC6456583	543	Kaumadi	Sci Rep	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KEGG mapper	No	NA	Not stated	Background list, FDR	No		
PMC6456668	544	Kaumadi	Front Genet	Database	Homo sapiens	KEGG, GO, Reactome	No	Not stated	Yes	STRING	No	NA	Not stated	Background list	No		
PMC6457290	545	Kaumadi	Biomed Res Int	RNA-seq	Mus musculus	KEGG, Reactome, PANTHER, BioCyc	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR	No		
PMC6457324	546	Kaumadi	Med Sci Monit	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	Yes	Not stated	No	NA	Not stated	Background list	No		
PMC6457337	547	Kaumadi	Front Physiol	RNA-seq	Bemisia tabaci	GO	No	No test	No	GOseq	No	No	Not stated	Inference without test, Background list	No		
PMC6457337	547	Kaumadi	Front Physiol	RNA-seq	Bemisia tabaci	KEGG	No	No test	No	KOBAS	No	NA	Not stated	Inference without test, Background list	No		
PMC6458835	548	Kaumadi	Arthritis Res Ther	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6458921	549	Kaumadi	Biomed Res Int	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6459169	550	Kaumadi	Genomics Inform	RNA-seq	Pygoscelis antarcticus, Pygoscelis papua	KEGG, GO	No	No test	No	Blast2GO	Yes	NA	Not stated	Inference without test, Background list	No		
PMC6459214	551	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Exclude because enrichment analysis is looking for enrichment of variants within Cancer genes, not gene sets	
