Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
Int J Mol Sci	RNA-seq	Ipomoea batatas	GO	No	Hypergeometric	Yes	BiNGO/Cytoscape	No	No	Not stated	Background	No
Int J Mol Sci	RNA-seq	Ipomoea batatas	KEGG	No	Not stated	Not stated	KOBAS	Yes	NA	Not stated	Background	No
Int J Mol Sci	Genome sequencing	Fundulus majalis	KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
Int J Mol Sci	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
Int J Mol Sci	miRNA-seq	Gallus gallus	KEGG, GOslim	No	Not stated	Yes	Not stated	No	No	Not stated	Background	No
Stem Cell Res Ther	RNA-seq	Homo sapiens	KEGG, GO	No	Hypergeometric	No	Not stated	No	No	Not stated	Background, FDR	No
PeerJ	Database	Homo sapiens	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Biosci Rep	Metabolomics	Homo sapiens	MetaboAnalyst	Yes	Not stated	Yes	MetaboAnalyst	Yes	NA	Not stated	Background	No
Sci Rep	RNA-seq	Equus caballus	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background, FDR	Yes
Sci Rep	RNA-seq	Equus caballus	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	Yes
Biomed Res Int	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PeerJ	RNA-seq	Trachemys scripta elegans	GO	No	Hypergeometric	Yes	GOseq	No	No	Not stated	Background	No
Front Genet	RNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Front Pharmacol	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Dis Markers	Database	Homo sapiens	GO	No	Not stated	Yes	BiNGO/Cytoscape	No	No	Not stated	Background	Yes
Dis Markers	Database	Homo sapiens	KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Toxicol Sci	RNA-seq	Mus musculus	Ingenuity Knowledge Base	Yes	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Cell Death Dis	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Front Pharmacol	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
Exp Mol Med	Gene expression array	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
Heliyon	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Cancer Med	RNA-seq	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Cancer Med	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	No
Cancer Med	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Exp Ther Med	Gene expression array	Homo sapiens	KEGG	No	EASE	Yes	DAVID	No	NA	Not stated	Background	No
Exp Ther Med	Database	Homo sapiens	KEGG	No	Fisher	No	Not stated	No	No	Not stated	Background, FDR	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Ecol Evol	RNA-seq	Zootermopsis nevadensis	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
DNA Cell Biol	Gene expression array	Mus musculus	KEGG, GO	No	Not stated	Not stated	Not stated	No	No	Not stated	Background, FDR	No
Front pharmacol	Proteomics	Phellinus igniarius	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Cancer Manag Res	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
Plos One	DNA methylation array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Plos One	Gene expression array	Mus musculus	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes
Plos One	Gene expression array	Mus musculus	GO	No	Hypergeometric	No	BiNGO/Cytoscape	Yes	No	Not stated	Background, FDR	Yes
Front Genet	RNA-seq	Oreochromis niloticus	GO	No	No test	No	Blast2GO	No	No	Not stated	Inference without test	No
Genome Med	Database	Homo sapiens	Reactome	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes
Parasite	miRNA-seq	Haemaphysalis longicornis	GO	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
FASEB J	Proteomics	Sus scrofa	GO	No	Not stated	No	Blast2GO	No	No	Not stated	Background, FDR	No
FASEB J	Proteomics	Sus scrofa	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PLoS Genet	Genotyping array	Homo sapiens	GO, Reactome, PANTHER	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Front Genet	RNA-seq, DNA methylation sequencing	Mus musculus	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Sci Rep	RNA-seq	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Med Sci Monit	Metabolomics	Rattus norvegicus	KEGG	No	Not stated	No	MetaboAnalyst	No	NA	Not stated	Background, FDR	No
BMC Oral Health	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Proteome Sci	Proteomics	Homo sapiens	KEGG, Reactome	No	No test	No	FunRich	Yes	NA	Not stated	Background	No
Cancer Manag Res	Database	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Int J Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	No test	No	DAVID	No	NA	Not stated	Background	No
Int J Oncol	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Plos One	Genome sequencing	Coturnix japonica	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Plos One	Proteomics	Homo sapiens	Ingenuity Knowledge Base	Yes	Fisher	No	Ingenuity Pathway Analysis	Yes	No	Not stated	Background, FDR	No
Front Genet	Genome sequencing	Catharanthus roseus	KEGG, GO, plantCyc	No	Fisher	Yes	PlantGSEA	No	NA	Yes	No	No
Front Genet	Database	Homo sapiens	KEGG	No	Not stated	No	OmicsBean	No	No	Not stated	Background, FDR	No
Front pharmacol	Metabolomics	Homo sapiens	Not stated	No	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	No
Int J Oncol	Database	Homo sapiens	KEGG, GO, Reactome, CORUM	No	Not stated	No	Metascape	No	NA	Not stated	Background, FDR	No
Lipids Health Dis	RNA-seq	Mus musculus	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Clin Proteomics	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
BMC Med Genet	Database	Homo sapiens	Not stated	No	Not stated	No	GenCLiP	Yes	NA	Not stated	Background, FDR	Yes
Prostate Cancer	Genotyping array	Homo sapiens	GO	No	Not stated	Yes	Ingenuity Pathway Analysis	No	No	Not stated	Background	Yes
Hortic Res	RNA-seq	Eriobotrya japonica	GO	No	Not stated	Yes	Not stated	No	No	Not stated	Background, FDR	No
Neoplasia	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	No data shown, Background	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Front pharmacol	RNA-seq	Homo sapiens, Rattus norvegicus	GEO	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
J Biol Chem	RNA-seq	Mus musculus	GO	No	EASE	Yes	DAVID	No	NA	Not stated	Background	No
J Biol Chem	Proteomics	Capra aegagrus hircus	GO	No	Not stated	Yes	PANTHER	Yes	NA	Yes	No	No
Stem Cells Int	RNA-seq	Equus caballus	GO	No	Not stated	Yes	DIANA-miRPath	Yes	NA	Not stated	Background	Yes
Stem Cells Int	RNA-seq	Equus caballus	KEGG, GO	No	Not stated	Yes	STRING	Yes	NA	Not stated	Background	Yes
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
Oncotarget	Genotyping array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Int J Mol Med	Proteomics	Canis lupus familiaris	KEGG, GO	No	Fisher	Yes	STRING	No	NA	Not stated	Background	No
Cell Death Dis	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
FEBS Open Bio	Gene expression array	Homo sapiens	CCGA	No	GSEA	Yes	GSEA	No	NA	NA	Background	No
FEBS Open Bio	Gene expression array	Homo sapiens	KEGG, GO	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
Front Plant Sci	RNA-seq	Vitis vinifera	GO	No	Not stated	Yes	GOstats	No	No	Not stated	Background	No
Ann Surg Treat Res	RNA-seq	Homo sapiens	KEGG, GO, BioCarta	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Ann Surg Treat Res	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Front Mol Neurosci	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	No
EBioMedicine	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
EBioMedicine	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Oncol Lett	Gene expression array	Homo sapiens	Not stated	No	Fisher	Yes	DAVID	No	NA	Not stated	Background	No
Oncol Lett	Database	Homo sapiens	KEGG	No	Fisher	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Fisher	No	MATHT	No	NA	Not stated	Background, FDR	Yes
World J Surg Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Metascape	No	NA	Not stated	Background, FDR	Yes
BMC Genomics	Genome sequencing	Glycine max	GO	No	No test	No	agriGO	Yes	No	Not stated	Background, FDR	NA
BMC Med Genomics	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	GOseq	Yes	No	Not stated	Background	No
BMC Genomics	Genotyping array	Bos taurus	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Front Genet	Gene expression array	Mus musculus	GO	No	Not stated	No	PANTHER	No	NA	Not stated	Background, FDR	No
Front Genet	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	Yes	No	Not stated	Background, FDR	Yes
Nat Commun	Genotyping array	Homo sapiens	MSigDB, GWAS-catalog	No	Hypergeometric	Yes	FUMA	No	NA	Not stated	Background	Yes
Front Neurosci	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background	No
Front Neurosci	Proteomics	Homo sapiens	GO	No	No test	NA	Uniprot/GOA	No	NA	Not stated	Inference without test, Background	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Clin Transl Gastroenterol	Metabolomics	Homo sapiens	Not stated	No	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	No
Front Pharmacol	Gene expression array	Homo sapiens	GO	No	GSEA	Yes	clusterProfiler	Yes	No	Yes	No	Yes
Respir Res	RNA-seq	Homo sapiens	KEGG, Reactome	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Mol Cancer	RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
Curr Genomics	Genome sequencing	Homo sapiens	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Curr Genomics	RNA-seq	Mus musculus	KEGG, GO	No	No test	No	Not stated	No	No	Not stated	Background	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Plant Physiol	PPI	Arabidopsis thaliana	GO	No	Not stated	Not stated	Not stated	No	No	Not stated	No data shown	Yes
J Cell Biol	Proteomics	Homo sapiens	GO	No	Not stated	No	ClueGO/Cytoscape	No	No	Not stated	Background, FDR	No
Plos One	Gene expression array	Rattus norvegicus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Plos One	Gene expression array	Rattus norvegicus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Exp Ther Med	Database	Homo sapiens	KEGG	No	EASE	Yes	DAVID	No	NA	Not stated	Background	Yes
Exp Ther Med	Gene expression array	Mus musculus	KEGG, GO	No	No test	No	DAVID	Yes	NA	Not stated	Inference without test	No
Exp Ther Med	Database	Homo sapiens	KEGG, GO	No	Not stated	No	GenCLiP	No	NA	Not stated	Background, FDR	No
Exp Ther Med	Gene expression array	Rattus norvegicus	KEGG, GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Oncol Lett	Database	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
Front Neurosci	Proteomics, Metabolomics	Rattus norvegicus	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Oncol Rep	Database	Homo sapiens	KEGG, GO	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Med Sci Monit	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Front Genet	Database	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Plos One	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Plos One	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
eNeuro	RNA-seq	Homo sapiens	MSigDB	No	Hypergeometric	Yes	GSEA	No	NA	NA	No	No
Thorac Cancer	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Sci Rep	RNA-seq	Auricularia cornea	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background, FDR	No
Sci Rep	RNA-seq	Auricularia cornea	KEGG	No	Hypergeometric	Yes	KOBAS	No	NA	Not stated	Background	No
Front Microbiol	Genome sequencing	Bacillus cereus	GO	No	Fisher	Yes	Not stated	No	NA	Not stated	No data shown	No
J Korean Med Sci	Metabolomics	Homo sapiens	KEGG	No	Not stated	No	MSEA	No	NA	NA	FDR	No
Front Genet	RNA-seq	Oryza sativa	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Mol Cells	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	No	clusterProfiler	No	No	Not stated	Background, FDR	No
BMC Syst Biol	Gene expression array	Homo sapiens	GO	No	Hypergeometric	No	topGO	No	No	Not stated	Background, FDR	No
J Biol Res (Thessalon)	Database	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Biol Res (Thessalon)	Database	Homo sapiens	GO	No	Not stated	No	FunRich	No	NA	Not stated	Background, FDR	No
J Biol Res (Thessalon)	Database	Homo sapiens	GO	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background	No
BMC Genomics	RNA-seq	Brassica alboglabra	GO	No	Not stated	No	GOseq	No	No	Not stated	Background, FDR	No
BMC Genomics	RNA-seq	Brassica alboglabra	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Genome Biol Evol	Genome sequencing	Moschus berezovskii	KEGG, GO	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Front Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PeerJ	RNA-seq, Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
J Neurooncol	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background	No
J Neurooncol	Database	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Sci Rep	Database	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
BMC Genomics	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Plos One	RNA-seq	Fenneropenaeus chinensis	GO	No	Not stated	Yes	GOseq	No	NA	Not stated	Background	No
Plos One	RNA-seq	Fenneropenaeus chinensis	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Front Genet	Database	Homo sapiens	KEGG	No	Fisher	Yes	clusterProfiler	No	NA	Not stated	Background	Yes
Mol Autism	Database	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	Background	Yes
BMC Genomics	Genotyping array	Bos taurus	KEGG	Yes	No test	No	DAVID	Yes	NA	Not stated	Inference without test, Background	No
Cancer Cell Int	Database	Homo sapiens	MSigDB	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Cancer Cell Int	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Drug Des Devel Ther	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
Emerg Microbes Infect	RNA-seq	Mycobacterium tuberculosis	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Medicine (Baltimore)	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Am J Transl Res	Gene expression array	Homo sapiens	KEGG, GO	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Sci Rep	Gene expression array	Arabidopsis thaliana	GO	No	Not stated	Yes	agriGO	Yes	NA	Not stated	Background	No
Sci Rep	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KEGG mapper	No	NA	Not stated	Background, FDR	No
Front Genet	Database	Homo sapiens	KEGG, GO, Reactome	No	Not stated	Yes	STRING	No	NA	Not stated	Background	No
Biomed Res Int	RNA-seq	Mus musculus	KEGG, Reactome, PANTHER, BioCyc	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Med Sci Monit	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	No
Front Physiol	RNA-seq	Bemisia tabaci	GO	No	No test	No	GOseq	No	No	Not stated	Inference without test, Background	No
Front Physiol	RNA-seq	Bemisia tabaci	KEGG	No	No test	No	KOBAS	No	NA	Not stated	Inference without test, Background	No
Arthritis Res Ther	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Biomed Res Int	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Genomics Inform	RNA-seq	Pygoscelis antarcticus, Pygoscelis papua	KEGG, GO	No	No test	No	Blast2GO	Yes	NA	Not stated	Inference without test, Background	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Plos One	Genome sequencing	Bos taurus	GO	Yes	Binomial	Yes	PANTHER	No	NA	Not stated	Background	Yes
Plos One	Genome sequencing	Bos taurus	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Sci Rep	RNA-seq	Homo sapiens	KEGG, GO, BioCarta, InterPro	No	EASE	No	DAVID	Yes	Yes	Not stated	Background, FDR	No
BMC Plant Biol	Proteomics	Arabidopsis thaliana	GO	No	Not stated	Yes	agriGO	No	No	Not stated	Background	Yes
BMC Plant Biol	Proteomics	Arabidopsis thaliana	KEGG	No	Not stated	No	KEGG mapper	Yes	NA	Not stated	Background, FDR	Yes
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Genomics	RNA-seq	Mizuhopecten yessoensis	GO	No	Not stated	Yes	Blast2GO	No	No	Not stated	Background	No
BMC Genomics	RNA-seq	Mizuhopecten yessoensis	KEGG	No	Not stated	Yes	KAAS	No	No	Not stated	Background	No
Peer J	RNA-seq	Rattus norvegicus	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
Sci Rep	Genotyping array	Homo sapiens	Not stated	No	Not stated	Yes	MAGENTA	Yes	NA	Not stated	Background	No
Sci Rep	Genotyping array	Homo sapiens	Not stated	No	Not stated	Yes	MAGMA	Yes	NA	Not stated	Background	No
Sci Rep	Genotyping array	Homo sapiens	Not stated	No	Not stated	Yes	Pascal	Yes	NA	Not stated	Background	No
Clin Proteomics	Proteomics	Homo sapiens	GO	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
Am J Clin Nutr	RNA-seq	Homo sapiens	MSigDB	Yes	Hypergeometric	Yes	GSEA	Yes	NA	NA	Background	No
J Biol Chem	RNA-seq	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Cardiovasc Dev Dis	Gene expression array	Rattus norvegicus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	Yes
J Clin Med	RNA-seq, DNA methylation array	Homo sapiens	GO, PANTHER	No	Not stated	No	FunRich	No	No	Not stated	Background, FDR	No
J Clin Med	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	Yes
J Clin Med	Genotyping array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Nat Genet	Genotyping array	Homo sapiens	GO, KEGG, Reactome, BioCarta, MGI	No	Not stated	Yes	MAGMA	No	NA	Not stated	Background	Yes
Biomed Res Int	Gene expression array	Mus musculus	KEGG, GO	No	Hypergeometric	No	DAVID	No	NA	Yes	FDR	No
Mol Ther Oncolytics	Database	Homo sapiens	KEGG, GO	No	No test	No	Enrichr	No	No	Not stated	Inference without test	No
Onco Targets Ther	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	Yes	No	Not stated	Background, FDR	No
Cell Cycle	Database	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Sci Rep	RNA-seq	Zonotrichia albicollis	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
Sci Rep	Metabolomics	Acropora cervicornis	Not stated	No	EASE	No	Mummichog	No	NA	Yes	FDR	No
Animals (Basel)	Genome sequencing	Canis lupus familiaris	KEGG, GO	No	Not stated	Yes	g:GOSt	No	No	Not stated	Background	No
Viruses	RNA-seq	Sclerotinia sclerotiorum	GO	No	Not stated	No	Blast2GO	No	No	Not stated	Background, FDR	No
Viruses	RNA-seq	Sclerotinia sclerotiorum	KEGG	No	Not stated	No	KOBAS	Yes	No	Not stated	Background, FDR	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Stem Cells Int	Gene expression array	Mus musculus	GO	No	Fisher	No	GeneSpring	No	No	Not stated	Background, FDR	No
Neurol Neuroimmunol Neuroinflamm	Proteomics	Homo sapiens	GO	No	Not stated	Yes	PIANO	No	No	Not stated	Background	No
Sci Rep	RNA-seq	Dugesia ryukyuensis	KEGG, GO	No	Not stated	Yes	DAVID	Yes	No	Not stated	Background	No
Sci Rep	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Metabolites	Metabolomics	Homo sapiens	KEGG	No	Fisher, Hypergeometric	No	MSEA	No	NA	NA	FDR	No
Exp Ther Med	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Metabolites	Metabolomics	Homo sapiens	KEGG	No	No test	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	No
Metabolites	Metabolomics	Rattus norvegicus	Not stated	No	Not stated	Yes	MetaboAnalyst	Yes	NA	Not stated	Background	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cancers (Basel)	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Cells	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
