"Pubmed.Central.ID"	"Article.number"	"Allocated"	"Journal"	"Omics.type"	"Organism"	"Gene.set.library"	"GS.version"	"Statistical.test.used"	"FDR.Correction"	"App.used"	"App.Version"	"Code.availability"	"Background.gene.set"	"Assumptions.violated"	"Gene.lists.provided"	"scores"
"351"	"PMC6407036"	315	"Kaumadi"	"Cancers (Basel)"	"Database"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"STRING"	"No"	NA	"Not stated"	"Background"	"No"	-4
"352"	"PMC6407597"	316	"Kaumadi"	"J Extracell Vesicles"	"Proteomics"	"Homo sapiens"	"GO"	"No"	"Hypergeometric"	"Yes"	"FunRich"	"Yes"	NA	"Yes"	"Background"	"No"	-1
"353"	"PMC6408756"	317	"Kaumadi"	"World J Surg Oncol"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"Yes"	"No"	"Not stated"	"Background"	"No"	-3
"354"	"PMC6408762"	318	"Kaumadi"	"Mol Cancer"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Fisher"	"No"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"355"	"PMC6409090"	319	"Kaumadi"	"PeerJ"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-4
"358"	"PMC6409335"	321	"Kaumadi"	"Front Genet"	"RNA-seq"	"Sus scrofa"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"359"	"PMC6409516"	322	"Kaumadi"	"Genes (Basel)"	"RNA-seq"	"Sillago sihama"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-5
"360"	"PMC6409919"	323	"Kaumadi"	"Metabolites"	"Metabolomics"	"Homo sapiens"	"MetaboAnalyst"	"Yes"	"MSEA"	"No"	"MetaboAnalyst"	"Yes"	NA	NA	"FDR"	"Yes"	0
"361"	"PMC6409929"	324	"Kaumadi"	"Genes (Basel)"	"RNA-seq"	"Ovis aries"	"KEGG, GO"	"No"	"Not stated"	"No"	"GOseq"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-4
"362"	"PMC6410058"	325	"Kaumadi"	"Genes (Basel)"	"RNA-seq"	"Zea mays"	"GO"	"No"	"Fisher"	"Yes"	"agriGO"	"Yes"	NA	"Yes"	"No"	"Yes"	0
"363"	"PMC6410316"	326	"Kaumadi"	"Toxins (Basel)"	"RNA-seq"	"Aequipecten opercularis"	"PFAM"	"No"	"Hypergeometric"	"Yes"	"Custom R script"	"Yes"	"No"	"Not stated"	"Background"	"Yes"	-1
"364"	"PMC6410316"	326	"Kaumadi"	"Toxins (Basel)"	"RNA-seq"	"Aequipecten opercularis"	"GO"	"No"	"Fisher"	"Yes"	"Blast2GO"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-1
"365"	"PMC6410422"	327	"Kaumadi"	"Oxid Med Cell Longev"	"Genotyping array"	"Homo sapiens"	"KEGG, GO, BioCarta"	"No"	"GSEA"	"Yes"	"i-GSEA4GWAS"	"No"	NA	"Not stated"	"Background"	"No"	-3
"366"	"PMC6410511"	328	"Kaumadi"	"Burns Trauma"	"Proteomics"	"Mus musculus"	"KEGG, GO"	"No"	"No test"	"No test"	"KAAS"	"No"	NA	"Not stated"	"Inference without test, Background"	"No"	-5
"369"	"PMC6410844"	330	"Kaumadi"	"Proc Natl Acad Sci U S A"	"RNA-seq"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"370"	"PMC6411608"	331	"Kaumadi"	"Transl Oncol"	"Database"	"Homo sapiens"	"KEGG, Reactome"	"No"	"No test"	"No test"	"Not stated"	"No"	NA	"Not stated"	"Inference without test, Background"	"Yes"	-5
"371"	"PMC6411633"	332	"Kaumadi"	"Neoplasia"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"FDR"	"No"	-2
"372"	"PMC6411638"	333	"Kaumadi"	"Front Genet"	"RNA-seq"	"Brachymeria lasus"	"KEGG"	"No"	"Not stated"	"Yes"	"KOBAS"	"No"	NA	"Not stated"	"Background"	"No"	-4
"373"	"PMC6411638"	333	"Kaumadi"	"Front Genet"	"RNA-seq"	"Brachymeria lasus"	"GO"	"No"	"Not stated"	"Yes"	"GOseq"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"374"	"PMC6411851"	334	"Kaumadi"	"Front Pharmacol"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"No"	"Background, FDR"	"No"	-5
"375"	"PMC6412146"	335	"Kaumadi"	"Oncol Rep"	"Database"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"Metascape"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"376"	"PMC6412146"	335	"Kaumadi"	"Oncol Rep"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"WebGestalt"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"378"	"PMC6412453"	337	"Kaumadi"	"Oncol Rep"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"WebGestalt"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"379"	"PMC6412593"	338	"Kaumadi"	"Oncol Rep"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"No"	"GSEA"	"No"	NA	NA	"FDR"	"No"	-2
"380"	"PMC6412903"	339	"Kaumadi"	"Molecules"	"Metabolomics"	"Caragana intermedia"	"KEGG"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"381"	"PMC6413023"	340	"Kaumadi"	"Int J Mol Sci"	"RNA-seq"	"Sus scrofa"	"GO"	"No"	"Not stated"	"No"	"GOseq"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"382"	"PMC6413023"	340	"Kaumadi"	"Int J Mol Sci"	"RNA-seq"	"Sus scrofa"	"KEGG"	"No"	"Not stated"	"No"	"KOBAS"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"383"	"PMC6413261"	341	"Kaumadi"	"Am J Transl Res"	"RNA-seq"	"Rattus norvegicus"	"KEGG"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-6
"386"	"PMC6413412"	343	"Kaumadi"	"Biomed Res Int"	"Database"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"ClueGO/Cytoscape"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"387"	"PMC6413431"	344	"Kaumadi"	"Cancer Inform"	"RNA-seq"	"Homo sapiens"	"Reactome"	"No"	"Fisher"	"Yes"	"clusterProfiler"	"No"	"Yes"	"Yes"	"No"	"Yes"	0
"388"	"PMC6413561"	345	"Kaumadi"	"Med Sci Monit"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"GSEA"	"No"	"GSEA"	"Yes"	NA	NA	"No"	"No"	-2
"389"	"PMC6413561"	345	"Kaumadi"	"Med Sci Monit"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"390"	"PMC6413775"	346	"Kaumadi"	"JCI Insight"	"RNA-seq"	"Homo sapiens, Mus musculus"	"GO"	"No"	"Hypergeometric"	"Yes"	"Not stated"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
"391"	"PMC6414158"	347	"Kaumadi"	"Int J Mol Med"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"392"	"PMC6414165"	348	"Kaumadi"	"Int J Mol Med"	"RNA-seq"	"Rattus norvegicus"	"KEGG, GO"	"No"	"Fisher"	"Yes"	"Not stated"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"393"	"PMC6414167"	349	"Kaumadi"	"Int J Mol Med"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"EASE"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"394"	"PMC6414176"	350	"Kaumadi"	"Int J Mol Med"	"Database"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-4
"395"	"PMC6414252"	351	"Kaumadi"	"Cancer Lett"	"Gene expression array, Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"396"	"PMC6414512"	352	"Kaumadi"	"Sci Rep"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"Yes"	NA	NA	"No"	"No"	-1
"397"	"PMC6414668"	353	"Kaumadi"	"Transl Psychiatry"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-4
"398"	"PMC6414679"	354	"Kaumadi"	"Sci Rep"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"Partek"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"399"	"PMC6415300"	355	"Kaumadi"	"Biomed Res Int"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Fisher"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"400"	"PMC6416987"	356	"Kaumadi"	"BMC Genomics"	"Gene expression array"	"Mus musculus"	"KEGG, GO, BioCarta, Reactome, NCI, WikiPathways, PFAM"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-5
"401"	"PMC6417124"	357	"Kaumadi"	"BMC Cancer"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
"402"	"PMC6417669"	358	"Kaumadi"	"PLoS One"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"403"	"PMC6418127"	359	"Kaumadi"	"Sci Rep"	"Database"	"Triticum aestivum"	"GO"	"No"	"Hypergeometric"	"Yes"	"Cytoscape (No plugin stated)"	"Yes"	NA	"Not stated"	"Background"	"No"	-2
"404"	"PMC6418229"	360	"Kaumadi"	"Sci Rep"	"Proteomics"	"Homo sapiens"	"KEGG, Reactome"	"No"	"GSEA"	"No"	"GSEA"	"No"	NA	"Yes"	"FDR"	"No"	-3
"405"	"PMC6418293"	361	"Kaumadi"	"Exp Mol Med"	"Database"	"Homo sapiens"	"KEGG"	"No"	"GSEA"	"No"	"GSEA"	"No"	NA	NA	"FDR"	"No"	-3
"406"	"PMC6419344"	362	"Kaumadi"	"Nutr Metab (Lond)"	"Proteomics"	"Anas platyrhynchos"	"KEGG"	"Yes"	"Not stated"	"No"	"ClueGO/Cytoscape"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"407"	"PMC6419526"	363	"Kaumadi"	"Front Genet"	"RNA-seq, miRNA-seq"	"Homo sapiens"	"GO, Cytoband"	"No"	"Not stated"	"Yes"	"ToppGene"	"No"	NA	"Not stated"	"Background"	"No"	-4
"410"	"PMC6419852"	366	"Kaumadi"	"BMC Bioinformatics"	"Database"	"Homo sapiens"	"KEGG, GO, Reactome, DisGeNET"	"No"	"No test"	"No test"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-6
"411"	"PMC6420108"	367	"Kaumadi"	"Nat Immunol"	"RNA-seq"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"ToppGene"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"412"	"PMC6420656"	368	"Kaumadi"	"Transl Psychiatry"	"Genotyping array"	"Homo sapiens"	"DGIdb, ChEMBL, PDSP Ki DB, PHAROS, NCBI PubChem BioAssay, DSigDB"	"Yes"	"Not stated"	"Yes"	"MAGMA"	"Yes"	"No"	"Yes"	"No"	"No"	-1
"413"	"PMC6421049"	369	"Kaumadi"	"Biomed Res Int"	"Metabolomics"	"Mus musculus"	"KEGG"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-6
"414"	"PMC6421055"	370	"Kaumadi"	"Biomed Res Int"	"RNA-seq"	"Linum usitatissimum"	"GO"	"No"	"Not stated"	"Yes"	"GOseq"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"415"	"PMC6421058"	371	"Kaumadi"	"PeerJ"	"Database"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"416"	"PMC6421261"	372	"Kaumadi"	"Front Med (Lausanne)"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Fisher"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"418"	"PMC6422253"	374	"Kaumadi"	"PLoS Pathog"	"Gene expression array"	"Homo sapiens, Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"420"	"PMC6422912"	376	"Kaumadi"	"Front Genet"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"NOA web app"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"421"	"PMC6423478"	377	"Kaumadi"	"Cancer Inform"	"RNA-seq"	"Homo sapiens"	"Reactome"	"No"	"Not stated"	"Yes"	"Enrichr"	"No"	NA	"Not stated"	"Background"	"No"	-4
"422"	"PMC6423478"	377	"Kaumadi"	"Cancer Inform"	"RNA-seq"	"Homo sapiens"	"Omic Path"	"Yes"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"No"	"No"	-1
"423"	"PMC6423580"	378	"Kaumadi"	"Mol Med Rep"	"EST sequencing"	"Eisenia fetida"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"Not stated"	"Background"	"No"	-4
"424"	"PMC6423588"	379	"Kaumadi"	"Mol Med Rep"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"425"	"PMC6423602"	380	"Kaumadi"	"Mol Med Rep"	"Gene expression array"	"Homo sapiens"	"GO, Reactome"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-6
"426"	"PMC6423615"	381	"Kaumadi"	"Mol Med Rep"	"Database"	"Homo sapiens"	"GO"	"No"	"No test"	"No test"	"PANTHER"	"Yes"	NA	"Not stated"	"Inference without test"	"No"	-4
"427"	"PMC6423625"	382	"Kaumadi"	"Mol Med Rep"	"Database"	"Homo sapiens"	"Not stated"	"No"	"Not stated"	"No"	"FunRich"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-5
"428"	"PMC6423634"	383	"Kaumadi"	"Mol Med Rep"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-6
"429"	"PMC6423644"	384	"Kaumadi"	"Mol Med Rep"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Hypergeometric"	"No"	"Metascape"	"No"	NA	"Stated, but incorrect"	"Background, FDR"	"No"	-4
"430"	"PMC6423861"	385	"Kaumadi"	"Malar J"	"Metabolomics"	"Plasmodium falciparum"	"GO"	"No"	"GSEA"	"No"	"GSEA"	"No"	NA	NA	"FDR"	"No"	-3
"431"	"PMC6424868"	386	"Kaumadi"	"Front Cell Neurosci"	"Proteomics"	"Mus musculus"	"Not stated"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"Not stated"	"Background"	"No"	-6
"432"	"PMC6424907"	387	"Kaumadi"	"Front Genet"	"RNA-seq"	"Longissimus thoracis"	"KEGG"	"No"	"Fisher"	"No"	"ClueGO/Cytoscape"	"Yes"	"No"	"Not stated"	"Background, FDR"	"Yes"	-2
"433"	"PMC6425008"	388	"Kaumadi"	"Sci Rep"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"434"	"PMC6425123"	389	"Kaumadi"	"Exp Ther Med"	"Database"	"Homo sapiens"	"GO, PANTHER"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"435"	"PMC6425136"	390	"Kaumadi"	"Exp Ther Med"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Fisher"	"No"	"Genelibs"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"436"	"PMC6425286"	391	"Kaumadi"	"Exp Ther Med"	"Database"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"437"	"PMC6425361"	392	"Kaumadi"	"Oncol Lett"	"miRNA-seq"	"Homo sapiens"	"GO"	"No"	"Hypergeometric"	"No"	"GOseq"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"438"	"PMC6425361"	392	"Kaumadi"	"Oncol Lett"	"miRNA-seq"	"Homo sapiens"	"KEGG"	"No"	"No test"	"No test"	"KOBAS"	"No"	NA	"Not stated"	"Inference without test, Background"	"No"	-5
"439"	"PMC6425613"	393	"Kaumadi"	"Hum Genomics"	"Database"	"Homo sapiens"	"KEGG, GO"	"No"	"Hypergeometric"	"No"	"Not stated"	"No"	"No"	"Yes"	"FDR"	"No"	-4
"441"	"PMC6426640"	395	"Kaumadi"	"Turk J Biol"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"STRING"	"No"	NA	"Not stated"	"Background"	"No"	-4
"442"	"PMC6426748"	396	"Kaumadi"	"Front Genet"	"Gene expression array"	"Homo sapiens"	"Not stated"	"No"	"GSEA"	"Yes"	"GSEA"	"Yes"	NA	NA	"No"	"No"	-2
"443"	"PMC6426909"	397	"Kaumadi"	"EJNMMI Res"	"Gene expression array"	"Mus musculus"	"GO"	"No"	"Fisher"	"No"	"PANTHER"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"444"	"PMC6426909"	397	"Kaumadi"	"EJNMMI Res"	"Gene expression array"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"445"	"PMC6427003"	398	"Kaumadi"	"Sci Rep"	"RNA-seq"	"Diabrotica virgifera"	"GO"	"No"	"No test"	"No test"	"Not stated"	"No"	"No"	"Not stated"	"Background"	"No"	-6
"446"	"PMC6427931"	399	"Kaumadi"	"Med Sci Monit"	"miRNA expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"447"	"PMC6428040"	400	"Kaumadi"	"PeerJ"	"Gene expression array"	"Arabidopsis thaliana"	"GO"	"No"	"Fisher"	"No"	"GOATOOLS"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-3
"448"	"PMC6428040"	400	"Kaumadi"	"PeerJ"	"Gene expression array"	"Arabidopsis thaliana"	"KEGG"	"No"	"Fisher, Hypergeometric"	"No"	"KOBAS"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"449"	"PMC6428103"	401	"Kaumadi"	"Aging (Albany NY)"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
"450"	"PMC6428103"	401	"Kaumadi"	"Aging (Albany NY)"	"Gene expression array"	"Homo sapiens"	"KEGG, DO"	"No"	"Not stated"	"Yes"	"DOSE"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"451"	"PMC6428269"	402	"Kaumadi"	"PLoS One"	"Gene expression array"	"Gallus gallus"	"KEGG"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"452"	"PMC6428707"	403	"Kaumadi"	"Front Genet"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"453"	"PMC6428711"	404	"Kaumadi"	"Front Genet"	"Genotyping array"	"Cyprinus carpio"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"454"	"PMC6428872"	405	"Kaumadi"	"Sci Rep"	"Genotyping array"	"Homo sapiens"	"Not stated"	"No"	"Not stated"	"Yes"	"i-GSEA4GWAS"	"No"	NA	"Not stated"	"Background"	"No"	-5
"455"	"PMC6429102"	406	"Kaumadi"	"Int J Mol Sci"	"RNA-seq"	"Ipomoea batatas"	"GO"	"No"	"Hypergeometric"	"Yes"	"BiNGO/Cytoscape"	"No"	"No"	"Not stated"	"Background"	"No"	-3
"456"	"PMC6429102"	406	"Kaumadi"	"Int J Mol Sci"	"RNA-seq"	"Ipomoea batatas"	"KEGG"	"No"	"Not stated"	"Not stated"	"KOBAS"	"Yes"	NA	"Not stated"	"Background"	"No"	-4
"457"	"PMC6429206"	407	"Kaumadi"	"Int J Mol Sci"	"Genome sequencing"	"Fundulus majalis"	"KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-2
"458"	"PMC6429334"	408	"Kaumadi"	"Int J Mol Sci"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"459"	"PMC6429403"	409	"Kaumadi"	"Int J Mol Sci"	"miRNA-seq"	"Gallus gallus"	"KEGG, GOslim"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"Not stated"	"Background"	"No"	-5
"460"	"PMC6429803"	410	"Kaumadi"	"Stem Cell Res Ther"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Hypergeometric"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"461"	"PMC6430101"	411	"Kaumadi"	"PeerJ"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"462"	"PMC6430740"	412	"Kaumadi"	"Biosci Rep"	"Metabolomics"	"Homo sapiens"	"MetaboAnalyst"	"Yes"	"Not stated"	"Yes"	"MetaboAnalyst"	"Yes"	NA	"Not stated"	"Background"	"No"	-2
"463"	"PMC6430771"	413	"Kaumadi"	"Sci Rep"	"RNA-seq"	"Equus caballus"	"GO"	"No"	"Hypergeometric"	"No"	"GOseq"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-3
"464"	"PMC6430771"	413	"Kaumadi"	"Sci Rep"	"RNA-seq"	"Equus caballus"	"KEGG"	"No"	"Not stated"	"No"	"KOBAS"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"465"	"PMC6431437"	414	"Kaumadi"	"Biomed Res Int"	"Gene expression array"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"466"	"PMC6431541"	415	"Kaumadi"	"PeerJ"	"RNA-seq"	"Trachemys scripta elegans"	"GO"	"No"	"Hypergeometric"	"Yes"	"GOseq"	"No"	"No"	"Not stated"	"Background"	"No"	-3
"467"	"PMC6431659"	416	"Kaumadi"	"Front Genet"	"RNA-seq"	"Sus scrofa"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"468"	"PMC6431671"	417	"Kaumadi"	"Front Pharmacol"	"Proteomics"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"469"	"PMC6432706"	418	"Kaumadi"	"Dis Markers"	"Database"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"BiNGO/Cytoscape"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
"470"	"PMC6432706"	418	"Kaumadi"	"Dis Markers"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-4
"471"	"PMC6432869"	419	"Kaumadi"	"Toxicol Sci"	"RNA-seq"	"Mus musculus"	"Ingenuity Knowledge Base"	"Yes"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"474"	"PMC6433941"	422	"Kaumadi"	"Front Pharmacol"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-6
"475"	"PMC6434019"	423	"Kaumadi"	"Exp Mol Med"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"GSEA"	"No"	"GSEA"	"Yes"	NA	NA	"FDR"	"No"	-2
"476"	"PMC6434181"	424	"Kaumadi"	"Heliyon"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"No"	"No"	-2
"477"	"PMC6434209"	425	"Kaumadi"	"Cancer Med"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"478"	"PMC6434209"	425	"Kaumadi"	"Cancer Med"	"RNA-seq"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"KOBAS"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"479"	"PMC6434210"	426	"Kaumadi"	"Cancer Med"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"480"	"PMC6434241"	427	"Kaumadi"	"Exp Ther Med"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"EASE"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-3
"481"	"PMC6434248"	428	"Kaumadi"	"Exp Ther Med"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Fisher"	"No"	"Not stated"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"483"	"PMC6434549"	430	"Kaumadi"	"Ecol Evol"	"RNA-seq"	"Zootermopsis nevadensis"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
