Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
PMC6417124	357	Kaumadi	BMC Cancer	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	No	Not stated	Background	Yes
PMC6417669	358	Kaumadi	PLoS One	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6418127	359	Kaumadi	Sci Rep	Database	Triticum aestivum	GO	No	Hypergeometric	Yes	Cytoscape (No plugin stated)	Yes	NA	Not stated	Background	No
PMC6418229	360	Kaumadi	Sci Rep	Proteomics	Homo sapiens	KEGG, Reactome	No	GSEA	No	GSEA	No	NA	Yes	FDR	No
PMC6418293	361	Kaumadi	Exp Mol Med	Database	Homo sapiens	KEGG	No	GSEA	No	GSEA	No	NA	NA	FDR	No
PMC6419344	362	Kaumadi	Nutr Metab (Lond)	Proteomics	Anas platyrhynchos	KEGG	Yes	Not stated	No	ClueGO/Cytoscape	No	No	Not stated	Background, FDR	No
PMC6419526	363	Kaumadi	Front Genet	RNA-seq, miRNA-seq	Homo sapiens	GO, Cytoband	No	Not stated	Yes	ToppGene	No	NA	Not stated	Background	No
PMC6419588	364	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6419788	365	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6419852	366	Kaumadi	BMC Bioinformatics	Database	Homo sapiens	KEGG, GO, Reactome, DisGeNET	No	No test	No test	Not stated	No	NA	Not stated	Background	No
PMC6420108	367	Kaumadi	Nat Immunol	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	ToppGene	No	NA	Not stated	Background, FDR	No
PMC6420656	368	Kaumadi	Transl Psychiatry	Genotyping array	Homo sapiens	DGIdb, ChEMBL, PDSP Ki DB, PHAROS, NCBI PubChem BioAssay, DSigDB	Yes	Not stated	Yes	MAGMA	Yes	No	Yes	No	No
PMC6421049	369	Kaumadi	Biomed Res Int	Metabolomics	Mus musculus	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6421055	370	Kaumadi	Biomed Res Int	RNA-seq	Linum usitatissimum	GO	No	Not stated	Yes	GOseq	No	No	Not stated	Background	No
PMC6421058	371	Kaumadi	PeerJ	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6421261	372	Kaumadi	Front Med (Lausanne)	Gene expression array	Homo sapiens	KEGG, GO	No	Fisher	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6421703	373	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6422253	374	Kaumadi	PLoS Pathog	Gene expression array	Homo sapiens, Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6422651	375	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6422912	376	Kaumadi	Front Genet	Gene expression array	Homo sapiens	GO	No	Not stated	No	NOA web app	No	NA	Not stated	Background, FDR	No
PMC6423478	377	Kaumadi	Cancer Inform	RNA-seq	Homo sapiens	Reactome	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background	No
PMC6423478	377	Kaumadi	Cancer Inform	RNA-seq	Homo sapiens	Omic Path	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6423580	378	Kaumadi	Mol Med Rep	EST sequencing	Eisenia fetida	KEGG, GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
PMC6423588	379	Kaumadi	Mol Med Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6423602	380	Kaumadi	Mol Med Rep	Gene expression array	Homo sapiens	GO, Reactome	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6423615	381	Kaumadi	Mol Med Rep	Database	Homo sapiens	GO	No	No test	No test	PANTHER	Yes	NA	Not stated	Inference without test	No
PMC6423625	382	Kaumadi	Mol Med Rep	Database	Homo sapiens	Not stated	No	Not stated	No	FunRich	Yes	NA	Not stated	Background, FDR	No
PMC6423634	383	Kaumadi	Mol Med Rep	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6423644	384	Kaumadi	Mol Med Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	No	Metascape	No	NA	Stated, but incorrect	Background, FDR	No
PMC6423861	385	Kaumadi	Malar J	Metabolomics	Plasmodium falciparum	GO	No	GSEA	No	GSEA	No	NA	NA	FDR	No
PMC6424868	386	Kaumadi	Front Cell Neurosci	Proteomics	Mus musculus	Not stated	No	Not stated	Yes	Not stated	No	No	Not stated	Background	No
PMC6424907	387	Kaumadi	Front Genet	RNA-seq	Longissimus thoracis	KEGG	No	Fisher	No	ClueGO/Cytoscape	Yes	No	Not stated	Background, FDR	Yes
PMC6425008	388	Kaumadi	Sci Rep	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6425123	389	Kaumadi	Exp Ther Med	Database	Homo sapiens	GO, PANTHER	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6425136	390	Kaumadi	Exp Ther Med	Gene expression array	Homo sapiens	KEGG	No	Fisher	No	Genelibs	No	NA	Not stated	Background, FDR	No
PMC6425286	391	Kaumadi	Exp Ther Med	Database	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6425361	392	Kaumadi	Oncol Lett	miRNA-seq	Homo sapiens	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background, FDR	No
PMC6425361	392	Kaumadi	Oncol Lett	miRNA-seq	Homo sapiens	KEGG	No	No test	No test	KOBAS	No	NA	Not stated	Inference without test, Background	No
PMC6425613	393	Kaumadi	Hum Genomics	Database	Homo sapiens	KEGG, GO	No	Hypergeometric	No	Not stated	No	No	Yes	FDR	No
PMC6425643	394	Kaumadi	Chin Med	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6426640	395	Kaumadi	Turk J Biol	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	STRING	No	NA	Not stated	Background	No
PMC6426748	396	Kaumadi	Front Genet	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
PMC6426909	397	Kaumadi	EJNMMI Res	Gene expression array	Mus musculus	GO	No	Fisher	No	PANTHER	No	NA	Not stated	Background, FDR	No
PMC6426909	397	Kaumadi	EJNMMI Res	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6427003	398	Kaumadi	Sci Rep	RNA-seq	Diabrotica virgifera	GO	No	No test	No test	Not stated	No	No	Not stated	Background	No
PMC6427931	399	Kaumadi	Med Sci Monit	miRNA expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6428040	400	Kaumadi	PeerJ	Gene expression array	Arabidopsis thaliana	GO	No	Fisher	No	GOATOOLS	No	No	Not stated	Background, FDR	Yes
PMC6428040	400	Kaumadi	PeerJ	Gene expression array	Arabidopsis thaliana	KEGG	No	Fisher, Hypergeometric	No	KOBAS	No	NA	Not stated	Background, FDR	Yes
PMC6428103	401	Kaumadi	Aging (Albany NY)	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
PMC6428103	401	Kaumadi	Aging (Albany NY)	Gene expression array	Homo sapiens	KEGG, DO	No	Not stated	Yes	DOSE	No	NA	Not stated	Background	Yes
PMC6428269	402	Kaumadi	PLoS One	Gene expression array	Gallus gallus	KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
PMC6428707	403	Kaumadi	Front Genet	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
PMC6428711	404	Kaumadi	Front Genet	Genotyping array	Cyprinus carpio	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6428872	405	Kaumadi	Sci Rep	Genotyping array	Homo sapiens	Not stated	No	Not stated	Yes	i-GSEA4GWAS	No	NA	Not stated	Background	No
PMC6429102	406	Kaumadi	Int J Mol Sci	RNA-seq	Ipomoea batatas	GO	No	Hypergeometric	Yes	BiNGO/Cytoscape	No	No	Not stated	Background	No
PMC6429102	406	Kaumadi	Int J Mol Sci	RNA-seq	Ipomoea batatas	KEGG	No	Not stated	Not stated	KOBAS	Yes	NA	Not stated	Background	No
PMC6429206	407	Kaumadi	Int J Mol Sci	Genome sequencing	Fundulus majalis	KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
PMC6429334	408	Kaumadi	Int J Mol Sci	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
PMC6429403	409	Kaumadi	Int J Mol Sci	miRNA-seq	Gallus gallus	KEGG, GOslim	No	Not stated	Yes	Not stated	No	No	Not stated	Background	No
PMC6429803	410	Kaumadi	Stem Cell Res Ther	RNA-seq	Homo sapiens	KEGG, GO	No	Hypergeometric	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6430101	411	Kaumadi	PeerJ	Database	Homo sapiens	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6430740	412	Kaumadi	Biosci Rep	Metabolomics	Homo sapiens	MetaboAnalyst	Yes	Not stated	Yes	MetaboAnalyst	Yes	NA	Not stated	Background	No
PMC6430771	413	Kaumadi	Sci Rep	RNA-seq	Equus caballus	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background, FDR	Yes
PMC6430771	413	Kaumadi	Sci Rep	RNA-seq	Equus caballus	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	Yes
PMC6431437	414	Kaumadi	Biomed Res Int	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6431541	415	Kaumadi	PeerJ	RNA-seq	Trachemys scripta elegans	GO	No	Hypergeometric	Yes	GOseq	No	No	Not stated	Background	No
PMC6431659	416	Kaumadi	Front Genet	RNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6431671	417	Kaumadi	Front Pharmacol	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
PMC6432706	418	Kaumadi	Dis Markers	Database	Homo sapiens	GO	No	Not stated	Yes	BiNGO/Cytoscape	No	No	Not stated	Background	Yes
PMC6432706	418	Kaumadi	Dis Markers	Database	Homo sapiens	KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
PMC6432869	419	Kaumadi	Toxicol Sci	RNA-seq	Mus musculus	Ingenuity Knowledge Base	Yes	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6432904	420	Kaumadi	PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6433918	421	Kaumadi	Cell Death Dis	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6433941	422	Kaumadi	Front Pharmacol	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6434019	423	Kaumadi	Exp Mol Med	Gene expression array	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
PMC6434181	424	Kaumadi	Heliyon	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6434209	425	Kaumadi	Cancer Med	RNA-seq	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6434209	425	Kaumadi	Cancer Med	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	No
PMC6434210	426	Kaumadi	Cancer Med	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6434241	427	Kaumadi	Exp Ther Med	Gene expression array	Homo sapiens	KEGG	No	EASE	Yes	DAVID	No	NA	Not stated	Background	No
PMC6434248	428	Kaumadi	Exp Ther Med	Database	Homo sapiens	KEGG	No	Fisher	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6434430	429	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6434549	430	Kaumadi	Ecol Evol	RNA-seq	Zootermopsis nevadensis	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
PMC6434600	431	Kaumadi	DNA Cell Biol	Gene expression array	Mus musculus	KEGG, GO	No	Not stated	Not stated	Not stated	No	No	Not stated	Background, FDR	No
PMC6434905	432	Kaumadi	Front pharmacol	Proteomics	Phellinus igniarius	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
PMC6434914	433	Kaumadi	Cancer Manag Res	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6435149	434	Kaumadi	Plos One	DNA methylation array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6435236	435	Kaumadi	Plos One	Gene expression array	Mus musculus	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes
PMC6435236	435	Kaumadi	Plos One	Gene expression array	Mus musculus	GO	No	Hypergeometric	No	BiNGO/Cytoscape	Yes	No	Not stated	Background, FDR	Yes
PMC6435965	436	Kaumadi	Front Genet	RNA-seq	Oreochromis niloticus	GO	No	No test	No test	Blast2GO	No	No	Not stated	Inference without test	No
PMC6436215	437	Kaumadi	Genome Med	Database	Homo sapiens	Reactome	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes
PMC6436478	438	Kaumadi	Parasite	miRNA-seq	Haemaphysalis longicornis	GO	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6436648	439	Kaumadi	FASEB J	Proteomics	Sus scrofa	GO	No	Not stated	No	Blast2GO	No	No	Not stated	Background, FDR	No
PMC6436648	439	Kaumadi	FASEB J	Proteomics	Sus scrofa	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6436759	440	Kaumadi	PLoS Genet	Genotyping array	Homo sapiens	GO, Reactome, PANTHER	No	GSEA	No	GSEA	No	NA	NA	FDR	No
PMC6437077	441	Kaumadi	Front Genet	RNA-seq, DNA methylation sequencing	Mus musculus	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6437149	442	Kaumadi	Sci Rep	RNA-seq	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6437718	443	Kaumadi	Med Sci Monit	Metabolomics	Rattus norvegicus	KEGG	No	Not stated	No	MetaboAnalyst	No	NA	Not stated	Background, FDR	No
PMC6438035	444	Kaumadi	BMC Oral Health	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6438040	445	Kaumadi	Proteome Sci	Proteomics	Homo sapiens	KEGG, Reactome	No	No test	No test	FunRich	Yes	NA	Not stated	Background	No
PMC6438265	446	Kaumadi	Cancer Manag Res	Database	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
PMC6438423	447	Kaumadi	Int J Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	No test	No test	DAVID	No	NA	Not stated	Background	No
PMC6438431	448	Kaumadi	Int J Oncol	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6438477	449	Kaumadi	Plos One	Genome sequencing	Coturnix japonica	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6438570	450	Kaumadi	Plos One	Proteomics	Homo sapiens	Ingenuity Knowledge Base	Yes	Fisher	No	Ingenuity Pathway Analysis	Yes	No	Not stated	Background, FDR	No
PMC6438902	451	Kaumadi	Front Genet	Genome sequencing	Catharanthus roseus	KEGG, GO, plantCyc	No	Fisher	Yes	PlantGSEA	No	NA	Yes	No	No
PMC6439315	452	Kaumadi	Front Genet	Database	Homo sapiens	KEGG	No	Not stated	No	OmicsBean	No	No	Not stated	Background, FDR	No
PMC6439482	453	Kaumadi	Front pharmacol	Metabolomics	Homo sapiens	Not stated	No	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	No
PMC6439977	454	Kaumadi	Int J Oncol	Database	Homo sapiens	KEGG, GO, Reactome, CORUM	No	Not stated	No	Metascape	No	NA	Not stated	Background, FDR	No
PMC6440132	455	Kaumadi	Lipids Health Dis	RNA-seq	Mus musculus	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6441198	456	Kaumadi	Clin Proteomics	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6441238	457	Kaumadi	BMC Med Genet	Database	Homo sapiens	Not stated	No	Not stated	No	GenCLiP	Yes	NA	Not stated	Background, FDR	Yes
PMC6441536	458	Kaumadi	Prostate Cancer	Genotyping array	Homo sapiens	GO	No	Not stated	Yes	Ingenuity Pathway Analysis	No	No	Not stated	Background	Yes
PMC6441654	459	Kaumadi	Hortic Res	RNA-seq	Eriobotrya japonica	GO	No	Not stated	Yes	Not stated	No	No	Not stated	Background, FDR	No
PMC6441712	460	Kaumadi	Neoplasia	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	No data shown, Background	No
PMC6441932	461	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6442023	462	Kaumadi	Front pharmacol	RNA-seq	Homo sapiens, Rattus norvegicus	GEO	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
PMC6442036	463	Kaumadi	J Biol Chem	RNA-seq	Mus musculus	GO	No	EASE	Yes	DAVID	No	NA	Not stated	Background	No
PMC6442054	464	Kaumadi	J Biol Chem	Proteomics	Capra aegagrus hircus	GO	No	Not stated	Yes	PANTHER	Yes	NA	Yes	No	No
PMC6442443	465	Kaumadi	Stem Cells Int	RNA-seq	Equus caballus	GO	No	Not stated	Yes	DIANA-miRPath	Yes	NA	Not stated	Background	Yes
PMC6442443	465	Kaumadi	Stem Cells Int	RNA-seq	Equus caballus	KEGG, GO	No	Not stated	Yes	STRING	Yes	NA	Not stated	Background	Yes
PMC6442482	466	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6442670	467	Kaumadi	PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
PMC6442994	468	Kaumadi	Oncotarget	Genotyping array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6443184	469	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6443345	470	Kaumadi	Int J Mol Med	Proteomics	Canis lupus familiaris	KEGG, GO	No	Fisher	Yes	STRING	No	NA	Not stated	Background	No
PMC6443651	471	Kaumadi	Cell Death Dis	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
PMC6443865	472	Kaumadi	FEBS Open Bio	Gene expression array	Homo sapiens	CCGA	No	GSEA	Yes	GSEA	No	NA	NA	Background	No
PMC6443874	473	Kaumadi	FEBS Open Bio	Gene expression array	Homo sapiens	KEGG, GO	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
PMC6443911	474	Kaumadi	Front Plant Sci	RNA-seq	Vitis vinifera	GO	No	Not stated	Yes	GOstats	No	No	Not stated	Background	No
PMC6444048	475	Kaumadi	Ann Surg Treat Res	RNA-seq	Homo sapiens	KEGG, GO, BioCarta	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6444048	475	Kaumadi	Ann Surg Treat Res	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
PMC6444190	476	Kaumadi	Front Mol Neurosci	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	No
PMC6444224	477	Kaumadi	EBioMedicine	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
PMC6444224	477	Kaumadi	EBioMedicine	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6444437	478	Kaumadi	Oncol Lett	Gene expression array	Homo sapiens	Not stated	No	Fisher	Yes	DAVID	No	NA	Not stated	Background	No
PMC6444485	479	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG	No	Fisher	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
PMC6444485	479	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Fisher	No	MATHT	No	NA	Not stated	Background, FDR	Yes
PMC6444505	480	Kaumadi	World J Surg Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Metascape	No	NA	Not stated	Background, FDR	Yes
PMC6444683	481	Kaumadi	BMC Genomics	Genome sequencing	Glycine max	GO	No	No test	No test	agriGO	Yes	No	Not stated	Background, FDR	NA
PMC6444860	482	Kaumadi	BMC Med Genomics	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	GOseq	Yes	No	Not stated	Background	No
PMC6444876	483	Kaumadi	BMC Genomics	Genotyping array	Bos taurus	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6445055	484	Kaumadi	Front Genet	Gene expression array	Mus musculus	GO	No	Not stated	No	PANTHER	No	NA	Not stated	Background, FDR	No
PMC6445055	484	Kaumadi	Front Genet	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	Yes	No	Not stated	Background, FDR	Yes
PMC6445072	485	Kaumadi	Nat Commun	Genotyping array	Homo sapiens	MSigDB, GWAS-catalog	No	Hypergeometric	Yes	FUMA	No	NA	Not stated	Background	Yes
PMC6445295	486	Kaumadi	Front Neurosci	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background	No
PMC6445295	486	Kaumadi	Front Neurosci	Proteomics	Homo sapiens	GO	No	No test	No test	Uniprot/GOA	No	NA	Not stated	Inference without test, Background	No
PMC6445408	487	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6445606	488	Kaumadi	Clin Transl Gastroenterol	Metabolomics	Homo sapiens	Not stated	No	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	No
PMC6445839	489	Kaumadi	Front Pharmacol	Gene expression array	Homo sapiens	GO	No	GSEA	Yes	clusterProfiler	Yes	No	Yes	No	Yes
PMC6446359	490	Kaumadi	Respir Res	RNA-seq	Homo sapiens	KEGG, Reactome	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6446409	491	Kaumadi	Mol Cancer	RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
PMC6446477	492	Kaumadi	Curr Genomics	Genome sequencing	Homo sapiens	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6446482	493	Kaumadi	Curr Genomics	RNA-seq	Mus musculus	KEGG, GO	No	No test	No test	Not stated	No	No	Not stated	Background	No
PMC6446500	494	Kaumadi	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6446796	495	Kaumadi	Plant Physiol	PPI	Arabidopsis thaliana	GO	No	Not stated	Not stated	Not stated	No	No	Not stated	No data shown	Yes
PMC6446857	496	Kaumadi	J Cell Biol	Proteomics	Homo sapiens	GO	No	Not stated	No	ClueGO/Cytoscape	No	No	Not stated	Background, FDR	No
PMC6447179	497	Kaumadi	Plos One	Gene expression array	Rattus norvegicus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
PMC6447179	497	Kaumadi	Plos One	Gene expression array	Rattus norvegicus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
PMC6447764	498	Kaumadi	Exp Ther Med	Database	Homo sapiens	KEGG	No	EASE	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6447814	499	Kaumadi	Exp Ther Med	Gene expression array	Mus musculus	KEGG, GO	No	No test	No test	DAVID	Yes	NA	Not stated	Inference without test	No
PMC6447890	500	Kaumadi	Exp Ther Med	Database	Homo sapiens	KEGG, GO	No	Not stated	No	GenCLiP	No	NA	Not stated	Background, FDR	No
PMC6447910	501	Kaumadi	Exp Ther Med	Gene expression array	Rattus norvegicus	KEGG, GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
PMC6447923	502	Kaumadi	Oncol Lett	Database	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	No
PMC6447940	503	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
PMC6447945	504	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6447949	505	Kaumadi	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
